tweet,Perbaikan
"RT @bisnis_h: @CNNIndonesia Keliatannya opung ingin lihat pada jatuh sakit itu kan jadi proyek lagi, tp gak mau PTM stop, hanya berkurang d…",kenyataannya opung lihat jatuh sakit jadi produk lagi mau ptm stop berkurang
"@schfess ptm 50% asik sih, capeknya tuh masih bisa ditahan buat pjj minggu selanjutnya🥲",ptm asik dapetnya tahan buat pjj sepatutnya
"@schfess kalo d sekolah gw engga, waktu itu ada test pcr berjamaah, dan kls 11 itu negatif smua, dan yg kena kls 12 sm 10 aja.
jadi kemaren tuh yg ptm cm kls 11 aja dan yg pjj kls 10 sm 12, eh hari ini malah smua yg pjj, asu

dan yg awal jd penyebab test pcr berjamaah itu berawal dr anak-",kalau sekolah gue ada test pcr bertambah kelas negatif semua kena kelas sama aja jadi kemarin ptm cuma kelas aja pjj kelas sama eh malah semua pjj asu awal jadi penyebab test pcr bertambah berkawal dari anak
@timeforngambis Engga ini masih ptm biasa,ptm biasa
"Tidak Loackdown.
PPKM diharuskan.
PTM tidak dihentikan.
Kerumunan dipertontonkan. 
Bisanya Orang - orang yang sengaja membingungkan Umat itu. 
Sebelum mati ditunjukan kepada mereka Azab yang pedih sebagai cerminan ke-yang lainnya. https://t.co/Athkv6Ygqv https://t.co/njuIXEHE1e",lockdown ppkm diharuskan ptm dihentikan kerumunan dipertontonkan bisanya sengaja membangunkan umat sebelah mati pertunjukan kepala azab pedih sebagai cerminan lainnya
"kalo daring tu udh ga dijelasin tugasnya bejibun lagi astaghfirullah, kalo ptm mah sekolah isinya penjelasan materi kerkom sama praktek mendingan lah jarang dapet tugas + ngerti materi",kalau daring sudah dijelasin susahnya beriman lagi astaghfirullah kalau ptm mah sekolah itunya penjelasan materi kerja kelompok sama praktek mendingan jarang dapet tugas ngerti materi
"@iCroffles enak dongg, tp mingdep balik lagi ptm 100%",enak dong balik lagi ptm
RT @realAbikaTrader: @marlina_idha Biar masyarakat tau kalau keputusan PTM itu ternyata wewenang Pemerintah Pusat. Selama ini saya menyangk…,biar masyarakat tau kalau keputusan ptm ternyata wewenang pemerintah pusat selama saya menyangkak
"@tanyakanrl belum ada kepastian asli sih, cuma katanya bakal ada ptm 50% lagi D:",belum ada kematian asli cuma katanya bakal ada ptm lagi
"@subschfess ptm lebih paham sm pelajaran nya, enak jg gada kendala grafik sm jaringan",ptm lebih paham sama pelajaran enak gaada jendala grasak sama jaringan
"@adisukardi @old_soldier1023 @Dikbudmalangkot @yusufgunawan @ipoksamidub Dari info yang kami terima, SD Sabilillah sdh melakukan penyesuaian proses PTM menyikapi temuan kasus.  Puskesmas @pkm_cisadea jg sdh diinformasikan hal tsb utk tindak lanjut 3T.  Jadi tidak benar bahwa ada yang ditutupi thd kasus tsb.  Tks.",dari info terima sudah melakukan penyesuaian proses ptm menyikapi temuan kasus kemas sudah konfirmasikan tindik lanjut jadi benar ada ditutup kasus
"@xigfao Masih PTM, cuma ekskul nya aja yang ditiadakan buat sementara ini",ptm cuma kukul aja ditiadakan buat sementara
"back to setiap hari bangun jam segini, PADAHAL UDAH SENENG KALO PTM 100% TUH AKUNYA LEBIH PRODUKTIF HUHU SEHARI HARINYA LEBIH TERTATA",baca setiap bangun jam segini sudah seneng kalau ptm akunya lebih produktif huhu sehari hanya lebih tertata
"@rulosttt Lebih seru ptm gasiii, gw butek ajg pjj",lebih seru ptm gasi gue butek anjing pjj
"@convomfs PTM LAH, KLO PJJ GAPAHAM MATERI",ptm kalau pjj gapaham materi
"@Bundsary Thankyouuu~
Iy nih, dikasih tau rabu besok baru ptm lagi... itupun semoga gk dikelompokan A/B lg 😔🤚🏻",thank you iyak dikasih tau besok ptm lagi semoga dikeluarkan lagi
"@myfavjjie gue emang dari dulu pjj harusnya besok Senin ptm 4 the first time in forever, tapi kata pemerintah di suruh pjj in 2 minggu gara-gara omicron(?) WAH APAKAH INI AKAN MENJADI LIBUR 2 MINGGU TAPI 2 TAHUN SEASON 2?😱😱😱",gue emang dari pjj besok ptm fiksi tim free kata pemerintah suruh pjj gegara omicron wah apalah menjamin libur sesalan
"RT @HoneyBee2024: @Mdy_Asmara1701 Laksanakan yang terbaik buat rakyat....jangan hiraukan suara pejabat
https://t.co/Nw4H6iv2to",melaksanakan terbaik buat rakyat jangan hiraukan suara pejabat
"Di sekolah karena ada 3 pilihan, boleh ptm, pjj atau campuran. Tapi demi kebaikan anak2 yg blm bisa kontrol diri, kita pilihlah pjj lagi. Emg sekarang udah ga bisa harapin pemerintah, udahlah lindungin keluarga masing2 aja 🥲 semoga Allah SWT yg tolong. https://t.co/V8YGP6pvta",sekolah karena ada pilihan boleh ptm pjj campur kebaikan anak belum kontrol diri pilihan pjj lagi emg sekarang sudah harap pemerintah dahlah lindung keluarga masing aja semoga allah swt tolong
senin balik pjj ya? enakan ptm,balik pjj enakan ptm
Kata gue jangan percaya tanggal 9 ptm,kata gue jangan percaya tanggal ptm
"@convomf di daerahku udah level 3 ,ada anak sekolah yang udah kena covid juga ,tapi ptm tetep jalan tu ,aturan si di liburin yaa sebelum makin luas lagi penyebarannya",daerah sudah level ada anak sekolah sudah kena covid ptm jalan aturan liburan eaa luas makin lagi penjelasannya
Plisss PTM!! MAU KETEMU MAS R BANGETT LOH,pls ptm mau ketemu mas banget
"@dr_koko28 Dok, PTM nih dok gmn nih ? 2 sekolah anak saya tutup gegara bnyk yg terpapar, trs @jokowi bilang isoman 5 hari pasti nanti jd acuan pihak sekolah, ini anak sy isoman dah sminggu lbh blm hilang batuk²nya dan radangnya msh positif..",dok ptm dok sekolah anak saya tutup gegara banyak terpapar isoman pasti nanti jadi acuan pihak sekolah anak saya isoman dah lebih belum hilang bentuknya sayangnya positif
"@subschfess PJJ, karna kl PJJ tu lebih gampang bagi waktu dan bisa ngontrol diri. kl PTM tu kyk cape bgt, blm less nya, blm lagi nnt belajarnya. selama aku PTM kyknya hampir gk pernah belajar deh, selain les.",pjj karena kalau pjj lebih gampang bagi kontrol diri kalau ptm kayak cape banget belum yes belum lagi nanti sewajarnya selama aku ptm kayaknya mampir pernah belajar deh selain yes
@jaeminatural engga wkwkwkwk males ptm,wkwk males ptm
@myfavjjie GUE KANGEN OLAHRAGA HUHUHU MANA GA JADI PTM HUHUHU KANGENNNN,gue kangen larang huhuhu jadi ptm huhuhu kangen
Blum ada dokumentasi PTM udh daring ajaaaaaaaaa,belum ada dominasi ptm sudah daring aja
"Mantap , PTM tetap dilanjutkan, bosan anak anak belajar di kasur terus https://t.co/R083S0sTHy",mantap ptm tetap dilanjutkan bosan anak anak belajar kasur
"@bbylinoo Aku makan roti tadi, ohh berarti ga langsung semuanya ptm ya hsksks btw semangatt buat hari inii (｡･ω･｡)ﾉ♡(｡･ω･｡)ﾉ♡",aku makan titi ohh berarti langsung semaunya ptm hakiki way semangat buat
"@satriohendri Jadi sudah pasti kan, siapa yang harus bertanggung jawab apabila peserta didik dan tenaga kependidikan tumbang gegara permohonan penangguhan PTM-100% yang ditolak. Suka-suka lu aja deh, mumpung lagi kuasa dan bisa mengatur segalanya.",jadi sudah pasti tanggung jawab arabika peserta didik tenaga kependidikan tumbang gegara permohonan penangguhan ptm ditolak suka suka aja deh mumpung lagi kuasa mengatur segalanya
@luvlytaejin aaa iya aku juga sama gt katanya mingdep udah ptm tp klo situasi nya semakin naik keanya ada perubahan,eaa iya aku sama katanya sudah ptm kalau situasi semakin naik kayaknya ada perubahan
"Kalau nekat masih gelar PTM artinya dia 
Pejabat Tidaktahu Maluuuuuuu",kalau nekat gelar ptm ortunya pejabat tahu malu
"Saya mendukung untuk pembatalkan sementara kebijakan PTM di sekolah-sekolah demi menghindari penyebaran virus yg belum diketahui. Takutnya anak sekolah pada jadi zombie kayak di Korea, kan ngeri. Jujur blm kuat untuk lari-larinya.",saya mendukung pembatalan sementara kebijakan ptm sekolah sekolah mengganjari penyebaran virus belum diketawain taunya anak sekolah jadi tembis kayak korek ngeri jujur belum kuat lari lainnya
"cape banget sama ptm, banyak tugas kelompok 😠",cape banget sama ptm banyak tugas kelompok
"Plis, aku belum ngerasain ptm 100% setidaknya kasih 1 Minggu ptm 100% baru pjj lagi hehehehehhehe",plis aku belum ngerasain ptm hendaknya kasih ptm pjj lagi
"PTM sudah saatnya dihentikan sekarang juga sebagai bentuk pencegahan keterpaparan virus Covid-19 varian Omicron
https://t.co/VcJWpxH1Pq
#evaluasiptm #jawabarat #infojabar #infobogor #omicron #covid_19 #covid19indonesia https://t.co/5ZQmc559QP",ptm sudah salahnya dihentikan sekarang sebagai bentuk pencegahan keterbatasan virus covid varian omicron
"@schfess Aku pjj nder, cuman katanya mingdep ptm
Tapi tadi pagi dpt kabar katanya akal pjj mingdep, ga jadi ptm gatau bener apa ga :""",aku pjj nder cuma katanya ptm pagi kabar katanya akal pjj jadi ptm gatau bener
Ya Allah ga minta di balik atau balikan cuma minta biar ptm trs biar bisa liat senyumnya dia:),ya allah minta balik belikan cuma minta biar ptm biar liat senyumnya
"yang gw males dan ga suka tuh gini nihh, kalo daring tugas nya suka ga ngotakk banyak bangettt, lebih capek 2 kali lipat di banding ptm",gue males suka kalau daring tugas suka otak banyak banget lebih capek lipat banding ptm
"Sch! Halo 😫😰😢 yang sekolah di Semarang udah ada pengumuman dari sekolah belumm? Jujur sender masi pengen ptm, tapi angka cororo sekarang naiknya tinggi bangett. Bahkan di sekolah sender udah banyak yang kontak langsung tapi didiemin aja 😭😭😰 https://t.co/QICgOHUwyZ",sch halo sekolah semarang sudah ada pengumuman dari sekolah belum jujur sender pengen ptm angka jorong sekarang naiknya tinggi bangett sekolah sender sudah banyak kontak langsung dedemit aja
"@schfess ptm 50%, aku klo diterangin ttg ngoding lwt zoom susah ngertinya 😭",ptm aku kalau diterangin ngong zoom susah bertanya
gwww pengen ptm covid syalandddd,gue pengen ptm covid sialan
@fairywnh aku jg sama udh dari minggu lalu sampe senin depan selanjutnya gatau balik ptm atau lanjut pjj,aku sama sudah dari lalu sampai sepatutnya gatau balik ptm lanjut pjj
@subschfess Kalo aku pen ptm tanpa tugas tapi haha,kalau aku pengen ptm tugas haha
Tiba-tiba adik w PTM 100% lagi karena case covid di Bali lagi naik 😷,tiba tiba adika gue ptm lagi karena cabe covid bali lagi naik
@jjk_97boy morning. msh PTM ya? asik deh gue udh pjj lagii,boy morning ptm asik deh gue sudah pjj lagi
"@schfess Kebalik aku mah. Pas pjj desember kemaren, sakit punggung sebulan penuh...pas masuk januari mulai membaik, LAHHH PTM TIBA TIBA

Mulai kumat ampe sekarang.🙂 sial",kebalik aku mah pjj kemarin sakit punggung penuh masuk mulai membaik yahhh ptm tiba tiba mulai kumat sampai sekarang sial
@collegemenfess seminggu kemaren ptm full sih,kemarin ptm full
yah ptm nya ganjil genap,ptm ganjil genap
enakan ptm apa daring dh,enakan ptm daring dah
Masi ptm gatau kalo nanti. https://t.co/F24QgLPcK0,ptm gatau kalau nanti
@llayzsne kenapa bolos? aku aja pengen ptm😔,bolos aku aja pengen ptm
"@StopPlandemit @TKantau @Moonboy020290 Bayangin,kurikulum sekarang yg dipakai kurtilas, dimana pelajaran sudah sangat tinggi, even buat anak SD, di Bogor aja, masih ada emak2 yg buta huruf, tamatan SD, gimana mau ngajari anaknya coba! Bogor mak! Gimana yg pelosok, makanya pas denger2 PTM distop, gemes bgt aku🤬🤬🤬",bayangin kerikil sekarang dipakai kualitas dimana pelajaran sudah sangit tinggi even buat anak sd bogor aja ada buta buruk taman sd mau ngajar anaknya coba bogor pelosok makanya denger ptm distop gemes banget aku
"@subschfess AKUUU NDER WKWKWK kalau ptm malesnya itu kalau otw harus pagi, tapi kalau pjj susah fokus (lebih ke males sih tbh) terus pengen ketemu temennn juga🥲🖐🏼",aku nder wkwk kalau ptm balesnya kalau way pagi kalau pjj susah fokus lebih males pengen ketemu teman
OMG HARI INI HARI TERAKHIR SEKOLAH SASHA PTM #SAD,omg sekolah swasta ptm
"hi muts, aku bolos ptm",hi muas aku bolos ptm
di tiktok banyak yg berantem soal ptm pjj apalah.. gue sih bodo amat mau ptm pjj juga sama aja 💀 cuma masalahin covid doang sih gue,tiktok banyak berantem soal ptm pjj apalah gue bodo tamat mau ptm pjj sama aja cuma disalahin covid doang gue
Yahh PTM 50% lagiiii. Ualahh https://t.co/1LoqSNF7DO,yahhh ptm lagi salah
"@strongarts_ @treasuremenfess iyaa, sekolah aku gak berhentiin ptm (dom tangsel)",iyak sekolah aku berhentikan ptm dom tangsel
@convomf walaupun gada temen tp ak memilih ptm 🙏🏻,walau gaada teman aku memilih ptm
"@me_gsty sedih ya, pdahal udah seneng ptm",sedih ya sudah seneng ptm
@LLEEJEN0 iyaa bener ptm ketolong soalnya ketemu temen gitu kan :((,iyak bener ptm ketolong soalnya ketemu teman
"Kalo hari ini ptm pasti di sekolah jamkos soalnya sibuk bawa barang buat pagelaran, trs sampe sore nata panggung",kalau ptm pasti sekolah jam kosong soalnya sibuk bawa barang buat cagaran sampai sore nada tanggung
RT @StopPlandemit: Mereka ini mikir gk gimana perjuangan anak2 hanya demi Pendidikan?beberapa dari mrk sampai harus kehilangan nyawa.Trus g…,mikir perjuangin anak pendidikan beberapa dari sampai kehilangan nyawa
"@_pitikcilik Sekolahnya masih full PTM... Pusing.. Mau onlen, emaknya lama2 bisa darting... 😪😪😪😪😪",disekolahnya full ptm pusing mau online lama darah tinggi
"Kl Pak Anies hentikan PTM DKI, sama pasukan Kodok luar DKI / JKT42 dibilang ""lenyapkan harapan anak bangsa"", kl Pak Anies tetap lanjut PTM, nanti mreka bilang ""Gotbener Anies mau bunuh Warga DKI"". wkwk 🥺 akibat minyak goreng naik &amp; langka, mereka jd kurang nutrisi otak 🥺",kalau anies hentikan ptm dki sama pasukan kodok dki jkt bilang melenyapkan harapan anak bangsa kalau anies tetap lanjut ptm nanti anies mau bunuh warga dki wkwk akibat banyak goreng naik langka jadi kurang risi otak
"Bapak Ibu Kepala Sekolah yang terhormat, 

Kurikulum bisa berganti. 
Orang Dinas bisa berganti. 
Mentri sekalipun bisa berganti. 

namun buah hati seseorang tak bisa tergantikan. 

Kami mohon Stop PTM, dan mulai PJJ Bapak dan Ibu terkasih. 
 jaga anak anak kita. 

🙏🙏🙏 https://t.co/uaMMdfBBSk",kepala sekolah terhambat kerikil berbakti dina berbakti mentri berbakti buah hati berhentikan mohon stop ptm pjj terkait jaga anak anak
"@ismailfahmi Bahasa yg tdk diperbolehkan adl menghentikan ptm terbatas.Jadi in case ada yg penting utk ptm ,dengan catatan skala terbatas , masih bisa dilakukan . Misal kelas lab di kampus , yg kadang ga bisa offline , atau ptm 25% misal menjelang sbmptn atau ujian yg perlu pm offline.",bahasa perolehan menghentikan ptm terbatas jadi cabe ada pending ptm cacatan akal terbatas dilakukan mual kelas lap kampus kadang offline ptm mual menjelang simpan ujian perlu pa offline
@bigwinberkali2 @emakpngnbigwin Semoga hasilnya negatif ya Bu. Dan selalu diberi kesehatan sekeluarga.. anak ikut PTM skrng kaya ngirim mereka ke medan perang jadinya.,semoga hasilnya negatif abu kesehatan berkeluarga anak ikut ptm sekarang kaya pengirim edan perang
@fantashee Mauu ptm juga,mau ptm
@BBAHlYYlH Pengen ptm t______t,pengen ptm
"@elisedya1 @StopPlandemit @TKantau @Moonboy020290 biar geger emang, kalau PTM yg ditiadakan kan lagsung jadi headline di media 🤣",biar geger emang kalau ptm ditiadakan langsung jadi healing sedia
"@yesogyu hiks disini baru aja pjj, mengsedih padahal uda asik ptm T ___ T",hiks baru aja pjj sedih sudah asik ptm
"ptm day 24, pusing kepala https://t.co/j757WBZ1Fh",ptm day pusing kepala
demi apaa anjg ptm lagi,demi anjing ptm lagi
"@HALCGSWA @schfess huhu syukurlah, sklhku jg gada yg + tapi 1 kabupaten pada daring lagi, pdhl pengen PTM sampe ujian kalo bisa:(",huhu syukurlah sekolah gaada ketupat daring lagi pengen ptm sampai ujian kalau
@jev_anna daring huhu hbs ptm di skolah byk yg positif,daring huhu habis ptm sekolah banyak positif
"@subschfess pjj aja pls soalnya jg nanggung ke sekolah bentar lg lulus, gabisa haha hihi jg tiap hari kerjaannya uji nyali, kalo bersosialisasi kan bisa lewat mana aja gaperlu tatap muka langsung,, ptm tuh udh uji nyali, cape, stress, kena kopit pula",pjj aja pls soalnya tanggung sekolah bentar lagi lulus gabisa haha hihi tiap kerjaan uji nyali kalau bersosialisasi lewat aja gaperlu tatap muka langsung ptm sudah uji nyali cape stress kena kopit puja
@schfess Tapi ptm itu membantu bgt ga sih utk lebih paham materi? Ptm efektif kok selama sesama warga sekolah itu saling mengingatkan dan saling menjaga prokes.. jangan seenaknya sendiri kalau memang ga mau keadaan jd memburuk lagi..,ptm bangle paham materi ptm efektif warga sekolah menjaga prokes jangan seenaknya sendiri kalau memang keadaan jadi memburu lagi
"SKB 4 Menteri tentang PTM Bisa antisipasi ancaman omicron
https://t.co/tCghbNjkTC
#evaluasiptm #jawabarat #infojabar #infobogor #omicron #covid_19 #covid19indonesia https://t.co/Aq2JsvWwOj",skb menteri tentang ptm antisipasi ancaman omicron
"@giftsswing Emangnya PJJ gak belajar juga? Kalo aku sih, lebih baik PJJ dulu ya setidaknya sampe cvid turun lagi. Kalo PTM full nanti takutnya makin banyak yg kena cvid, makin lama pula bumi bisa bener² normal tanpa virus ini",memangnya pjj belajar kalau aku lebih bau pjj dulu sampai covid turun lagi kalau ptm full taunya banyak kena covid bumi bener normal virus
Pls ini bisa daring lagi gasi? Jujur gua rada capek kalo ptm demi allah,pls daring lagi jujur gua nada capek kalau ptm demi allah
"@convomfs ptm, pjj kalo ulangan aja wokwok",ptm pjj kalau ulangan aja wkwk
"lagi meet : kaaaaa
lagi ngerjain tugas : kaaaaa
lagi diem : kaaaa
trs ntar ada yg tiba tiba : kerjaannya main hp aja, gamau bantu bantu

YA ALLAH GUE UDH NGERJAIN SEMUANYA DULU, TRS NGERJAIN TUGAS YG SEMUANYA HARUS ADA DI HP SAMA LAPTOP, YA ALLAH MAU PTM LAGI AJAA GAKUAT",lagi meet lagi ngerjain tugas lagi diem bentar ada tiba tiba kerjaan main hp aja gamau bantu bantu allah gue sudah ngerjain semaunya ngerjain tugas semaunya ada hp sama laptop ya allah mau ptm lagi aja gakuat
"Baca postingan warganet yg sudah muak dengan pembatasan pembatasan, muak dgn test PCR dll dan muak dgn corona, udah nganggap bodo amat sama covid. Tp giliran Pusat ga setuju usulan Gub DKI soal peniadaan PTM malah ngoceh ngoceh salahin Luhut, salahin rezim. 🤣",baca postingan warganet sudah muak pembatasan pembatasan muak test pcr muak jorong sudah nganggur bodo tamat sama covid giliran pusat setuju usulan gub dki soal peniadaan ptm malah ngomel ngomel salahku luhut salahku rim
"banyak yang pjj yaw, ak ptm sksksk mana sesi siang lagi anjrt",banyak pjj eaa aku ptm wkwk sesi lagi anjir
